,Sentence1,Sentence2,Sentence1_embedding,Sentence2_embedding
0,There are three apples on the table., There are many apples on the table.,"[ 0.13320337 -1.178837    0.04943928 ... -1.8095498  -1.9975655
 -1.6466334 ]","[-0.7484604  -0.23805869  0.35183334 ... -2.3167927  -1.0696094
 -0.09513719]"
1,5 people were in the room, 30 people were in the room,"[ 0.66609377  0.59963155  3.2759628  ... -0.0077523  -0.72581357
  2.295706  ]","[ 0.03210667 -1.1301576   3.3416893  ...  0.411546   -1.6137874
  3.2488427 ]"
2,I ate two cookies., I ate several cookies.,[-1.6138109  2.2686315  1.8283234 ... -2.6798837  1.2376349  4.391876 ],[-2.327413   1.7335055  1.7833023 ... -3.254024   1.9689884  3.0007837]
3,She has one cat., She has numerous cats.,[ 2.8776982  1.817606   1.9270653 ...  0.8647785 -4.60384    4.5426974],"[ 2.096498    1.5782826   1.3658192  ...  0.08942127 -2.4163532
  3.3914323 ]"
4,He bought four books., He bought a few books.,"[-0.43739367  1.2471712   0.7079817  ... -2.5718565  -0.14452474
  3.8641572 ]","[-0.3200505   1.787062   -0.23498993 ... -1.2866143   2.2266226
  3.1593807 ]"
5,There were ten cars in the parking lot., There were a lot of cars in the parking lot.,[-3.3757982 -4.912786   0.868657  ... -1.119     -4.681236   2.652824 ],"[-4.0549703  -4.4892178  -0.05102969 ... -0.46304992 -2.2642431
  1.8491    ]"
6,Only two students passed the exam., Few students passed the exam.,"[ 0.11804676  1.4943216   1.057915   ...  0.7626857  -1.3822156
  4.245542  ]","[ 0.92557687  3.5549784   0.7214055  ...  0.06526624 -1.6308953
  3.3422782 ]"
7,We saw five birds., We saw a couple of birds.,"[-0.70581394 -0.6425868   0.77401763 ... -2.0365212  -3.7966633
  2.3774195 ]","[-0.3075674  -3.8390121  -0.00894523 ... -1.6966226  -2.7031083
  1.323039  ]"
8,The garden has seven roses., The garden has some roses.,"[ 1.7728858  -2.9168785   0.77339214 ... -0.23445277 -4.8521676
  1.7249988 ]","[ 0.9051535  -1.8440555   0.1255358  ... -0.05317472 -3.5047543
  2.198672  ]"
9,He drank one glass of water., He drank a lot of water.,[-1.6634979  2.551939   3.8115108 ... -3.5299046  2.301354   4.5728493],[-2.130538   3.8105316  2.9529495 ... -2.6516805  2.2959735  3.494074 ]
