,Sentence1,Sentence2,Sentence1_embedding,Sentence2_embedding
0,The cat is on the mat,The cat is under the mat,"[ 5.6813183   3.2289016   2.554758   ...  0.41040835 -4.258536
  4.2168326 ]","[ 5.5526757   4.1059203   2.4422572  ... -0.90319633 -3.3384945
  3.3515215 ]"
1,The vase is beside the flowers,The vase is behind the flowers,"[ 3.069026    2.1657565   0.22226907 ... -0.6295975  -0.13209786
  1.8730911 ]","[ 2.8694258   3.3662624  -0.08394308 ... -0.7936289   0.12937929
  1.3958892 ]"
2,The car is in the garage,The car is outside the garage,[-1.1316067  3.961714   1.1686662 ...  1.244969  -1.0914637  2.6438847],[ 1.1343514  1.9039259  2.1391823 ...  1.1154383 -2.5660596  2.2078612]
3,The bird is above the tree,The bird is below the tree,"[-0.21336336  3.317509    3.139075   ... -2.7481558  -0.653703
  2.5247858 ]","[-0.19193727  2.8239958   3.0004177  ... -2.5187979   0.22002243
  2.4819093 ]"
4,The apple is near the orange,The apple is far from the orange,"[ 1.4453093   3.7013037   2.6772168  ... -0.70374423  0.4444104
  0.24092716]","[ 0.4496575   3.1502688   2.1207962  ... -0.7254038   0.87333155
  0.88924944]"
5,The keys are on the desk,The keys are in the desk drawer,"[ 2.865467    3.2228734  -0.44733027 ... -0.9395578   1.196919
  1.0237461 ]",[ 2.3871753  2.8071218  0.1441257 ... -0.3031589  2.688444  -0.3818476]
6,The lamp is next to the bed,The lamp is across from the bed,"[ 0.58687776  2.4155152   1.5872065  ... -0.44215316 -0.4997576
  1.3883219 ]","[-0.41223034  0.9688808   1.6418194  ... -0.34341437 -1.3820158
  2.192421  ]"
7,The picture is on the wall,The picture is leaning against the wall,"[-2.5015254  -2.3023674  -0.17163534 ...  0.4662648  -0.58897436
  1.0575448 ]","[-0.19057918 -1.9676054  -0.51952803 ...  0.7914332   0.3438611
  1.9322897 ]"
8,The dog is in the house,The dog is outside the house,[3.7393005  4.200525   0.6949127  ... 0.65597945 0.01468768 3.0039566 ],"[ 2.5070264   2.3542922   2.4720678  ... -0.03095342 -1.7401406
  1.5820179 ]"
9,The book is above the shelf,The book is below the shelf,"[-1.385332    0.5528279   2.2506866  ... -0.56903785  1.3158153
  2.142328  ]","[-0.6870751   0.23862797  1.9897159  ... -0.6529297   1.657094
  2.6781538 ]"
10,The pen is inside the cup,The pen is beside the cup,"[ 1.775815    4.974717    2.5864117  ... -0.08642777  0.32463095
  1.3368133 ]",[3.3432167  4.5376086  2.5949445  ... 0.30260578 0.8287274  0.9937539 ]
11,The spoon is in the bowl,The spoon is next to the bowl,[1.0355587 4.400103  3.6103947 ... 1.2071884 2.349501  3.1839378],[1.7674549 3.505756  2.9405828 ... 2.013519  1.9044974 2.9910455]
12,The chair is near the table,The chair is far from the table,"[ 1.3573755   2.5003784   0.30528268 ... -1.6408843   3.0127437
  4.2552643 ]","[ 0.18760893  1.2650083   0.75252056 ... -1.3382803   4.17709
  5.1588283 ]"
13,The clock is on the mantelpiece,The clock is under the mantelpiece,"[-0.34823966 -0.5486601   2.317526   ... -1.726626   -1.5294001
  1.0740877 ]","[ 0.92279154  0.16482961  1.4428012  ... -2.6496253  -1.2130041
  1.9484293 ]"
14,The plant is by the window,The plant is away from the window,"[ 0.53469044  0.40690613  1.5877151  ...  0.3477954  -4.174435
  2.2883887 ]","[-0.11954752  1.8284982   2.7270427  ... -0.12651913 -3.9503415
  2.5812337 ]"
15,The phone is on the sofa,The phone is under the sofa,"[-0.58977896  3.4208758   2.7547035  ...  1.1524541  -1.1045331
  2.3988857 ]","[ 0.4579668   4.461203    2.630585   ...  0.28295925 -0.8346622
  2.3321888 ]"
16,The shoes are under the bed,The shoes are on the bed,"[ 0.59730107  2.7334569   1.0499738  ... -0.90652704  0.09892112
  1.1690942 ]","[-1.6678332   1.2600635   0.24423254 ... -0.32187933  0.12084818
  0.5519691 ]"
17,The bag is beside the door,The bag is in front of the door,"[ 4.0531716   3.6609275   1.7790071  ... -0.80120444 -0.94180566
  0.8059297 ]","[ 1.3676522   4.2777605   2.0841153  ... -0.83043665  0.33603716
  1.2463723 ]"
18,The hat is on the hook,The hat is near the hook,[ 2.7363043  3.8753808  1.3082086 ... -0.1713748  1.742838   1.1421396],"[ 4.8180623   4.266869    1.3499302  ... -0.24517186  1.5060719
  1.1953496 ]"
19,The remote is on the coffee table,The remote is under the coffee table,[-0.1462198  1.5820988  1.399887  ...  0.6730054  1.6242177  3.223276 ],[ 1.1171721  3.4708161  1.659741  ... -0.5045627  1.6381255  3.675466 ]
20,The bowl is on the counter,The bowl is in the cupboard,"[ 2.0481398   1.644311    1.630633   ... -0.1878468   0.23447347
  2.582609  ]",[1.0827008 1.7722503 2.297389  ... 0.4294089 1.159484  2.0724437]
21,The mug is near the teapot,The mug is far from the teapot,"[-0.7919549   2.503176    3.2858746  ... -1.2043078   0.90879875
  3.3724663 ]",[-2.1500235  1.3054218  2.6442327 ... -1.5192991  0.8964005  4.1853237]
22,The plate is on the table,The plate is under the table,[0.8308764  1.8237976  1.0835004  ... 0.11510392 0.52656895 3.4682262 ],"[ 0.45122448  2.3348696   1.8079963  ... -0.08248875  0.44377676
  3.760995  ]"
23,The knife is beside the fork,The knife is across from the fork,[3.9325485 5.740818  2.3999765 ... 3.0408535 1.3100543 2.2325838],[1.7010343 4.5185714 3.2837026 ... 2.665156  1.5156657 3.2645004]
24,The fork is on the table,The fork is in the drawer,[0.882711  1.8531984 1.284408  ... 1.0535625 2.3211837 4.8149157],[1.5684333 2.7300036 2.268326  ... 1.8971692 3.069271  4.1116204]
25,The glass is on the coaster,The glass is without a coaster,"[-2.210821    2.113727    3.9173477  ... -0.58329326  0.6135807
  2.6294353 ]","[-2.0339525   2.5227025   2.9952705  ... -0.8484211   0.07252821
  2.6349132 ]"
26,The laptop is on the desk,The laptop is in the bag,"[ 0.3320472   3.5843246   1.4337177  ... -2.4182384  -0.88711125
  2.0366993 ]","[ 0.14491917  4.2806106   2.7578392  ... -1.247475    0.06377796
  2.0649066 ]"
27,The tablet is on the sofa,The tablet is in the drawer,"[-0.07546186  1.357242    1.5863482  ... -1.0976893   1.8382043
  1.6609663 ]","[ 0.76874727  2.0143168   2.001387   ... -0.60643077  2.9355009
 -0.13335258]"
28,The camera is in the bag,The camera is on the table,"[-2.3427908   3.1061614   2.3723238  ...  0.03730926  0.51736724
  2.0019503 ]","[-1.7498432   2.0280454   0.757113   ... -0.19933273  0.3682876
  2.9179955 ]"
29,The headphones are on the table,The headphones are in the drawer,"[-0.94382375  4.261804   -0.21615094 ...  0.50427717  1.4947227
  1.1679503 ]","[-0.48226118  4.5141234   0.3547308  ...  1.5210671   2.516167
 -0.51348025]"
30,The watch is on my wrist,The watch is in my pocket,"[-2.7024868   3.593263    3.4787111  ... -0.74057317  0.6784722
  0.92119056]","[-0.84167767  3.755933    3.3263924  ... -0.9498703   1.6940976
  2.166226  ]"
31,The keys are in my pocket,The keys are on the table,"[ 2.6295738   4.4862      1.5727631  ... -0.29381016  2.6522255
 -0.40348902]","[ 3.0339124   2.9351003  -0.24920003 ... -0.9083459   1.5778738
  1.2487966 ]"
32,The wallet is in my bag,The wallet is on the table,"[ 0.42797446  3.9446037   1.6760875  ... -0.5136733   1.4129157
  1.5821009 ]","[ 1.3509952   3.1236      1.0123578  ... -0.39786363  2.1320462
  2.0786598 ]"
33,The phone is in my hand,The phone is on the table,"[-0.7787382   5.963352    4.027083   ...  0.33771405  0.39702204
  0.51993066]","[ 0.07439963  3.9187431   2.313275   ...  0.64852864 -0.98347515
  2.6044188 ]"
34,The book is on the shelf,The book is under the shelf,"[-1.725624   -0.44001684  0.7330263  ...  0.7511699   1.3279008
  2.2896907 ]","[-2.5104012  -0.5245845   2.0574431  ...  0.16523819  1.8857695
  3.4580507 ]"
35,The lamp is by the chair,The lamp is across the room from the chair,"[-0.17198594  1.0595192   1.6329435  ... -0.7642278  -0.65645087
  2.1954687 ]","[-1.0658308   1.3624809   2.4363217  ... -0.46569803 -1.1775764
  2.5648336 ]"
36,The painting is above the fireplace,The painting is to the side of the fireplace,"[-1.9387501  -1.5501305   1.7052644  ... -1.7606846  -0.68676066
  2.3066337 ]","[-2.1407971  -2.4452238   1.9819832  ...  0.9837904   0.20869048
  1.1933856 ]"
37,The mirror is on the wall,The mirror is on the floor,"[-1.5398172   2.00616     0.46055827 ...  0.37091506 -0.72663474
  0.6659906 ]","[-1.4360118   1.869564    0.8328686  ...  0.5150323  -0.69684386
  1.3079077 ]"
38,The rug is on the floor,The rug is in the closet,[ 1.328536  -0.9355832  1.7264513 ... -0.9259619  0.1688803  3.4070423],"[ 0.38776898 -1.0313922   2.437618   ... -0.13296755  1.0222416
  2.762016  ]"
39,The flowers are in the vase,The flowers are on the table,"[ 1.7343102   2.341523   -0.25894153 ...  0.69061893 -1.8589042
  1.4590498 ]",[ 2.5450659  2.2686799 -0.4268771 ... -0.7484741 -2.3675697  2.291889 ]
40,The candle is on the table,The candle is on the floor,"[-1.0710996   1.6260271   1.0618925  ...  0.01329958 -1.7791847
  2.4135027 ]","[-1.5207464   1.5196859   1.6408154  ...  0.34182122 -1.9298654
  2.293001  ]"
41,The frame is on the desk,The frame is in the drawer,"[-1.1607056  -0.77115417  1.6782707  ... -0.50967383  1.8271896
  2.6374404 ]","[-0.7155389  -0.72337896  2.2483895  ... -0.13441442  2.9588482
  1.8458246 ]"
42,The toys are in the box,The toys are scattered around,"[ 0.9076169   0.8250933   2.2246478  ... -1.7318271   2.3700695
 -0.16810727]","[ 1.5903862  -0.6769926   1.1177247  ... -2.5813646   0.43533295
  1.662817  ]"
43,The coat is on the rack,The coat is on the chair,"[ 1.7599028   1.7105783   0.19562833 ... -0.54089063 -0.9660947
 -1.4208924 ]","[ 2.3053014   2.3163908   0.7521214  ... -1.5432577   0.13583483
  0.07717153]"
44,The shoes are by the door,The shoes are in the closet,"[ 1.8205937   0.21410255  0.63597655 ...  0.02631213 -0.74938816
 -0.25014767]","[-0.70072335  1.1479999   1.2925493  ...  0.9673622   1.0117791
 -0.0080999 ]"
45,The umbrella is in the stand,The umbrella is on the floor,"[ 1.124029    4.5616527   3.7641065  ...  2.126511    0.08715618
 -0.52336925]",[ 1.6679312  4.3178415  2.7622986 ...  0.9372154 -0.9533372  1.633306 ]
46,The scarf is around my neck,The scarf is in my bag,[ 0.2876573  2.728645   1.8412957 ... -1.0783249 -0.5805926  1.391599 ],"[ 1.6757034   3.0467927   2.0385454  ... -0.50458306 -0.74043757
  0.75128573]"
47,The gloves are in my pocket,The gloves are on the table,[2.123639   2.3903615  0.87037563 ... 0.6415952  1.4710771  0.70349747],"[ 1.4260753   1.1518202  -0.54226524 ... -0.2842342   0.7241147
  2.251194  ]"
48,The jewelry is in the box,The jewelry is on the dresser,[-2.8275874  2.012296   1.1250325 ... -1.5781623  3.9914768  2.3329227],"[-2.0798397   0.35970148 -0.35050356 ... -1.8478141   1.8205975
  1.4660977 ]"
49,The socks are in the drawer,The socks are on the floor,"[ 0.747775   -0.05710991  1.5277615  ...  2.7773924   0.05817954
 -0.6480903 ]","[ 0.01379176 -0.49440408  1.6237584  ...  1.2656789  -0.85834676
  0.78820544]"
50,The belt is in the drawer,The belt is on the bed,[2.2385721 3.4480093 1.0435281 ... 1.6136557 1.2417221 1.4023914],[1.4483734  3.2452927  0.9469638  ... 0.25361845 0.69288826 1.9465603 ]
51,The sweater is on the chair,The sweater is in the closet,"[ 2.8227434   2.0883744   2.0657437  ... -0.3274482  -0.73322207
 -0.28867137]","[ 2.7544725   2.7083519   1.8439708  ...  0.7056113   0.22796781
 -1.4582576 ]"
52,The pants are on the floor,The pants are in the hamper,[-1.8433131  1.001239   0.8933371 ...  2.2462373 -1.0573593  1.741872 ],"[ 1.1732968   1.555421    2.1507225  ...  3.164952    0.21307571
 -0.09373931]"
53,The shirt is on the bed,The shirt is in the drawer,[ 1.20001    2.402504   2.3556237 ...  1.0993379 -1.7547003 -0.6023688],[ 2.4549127  2.7978384  2.2191658 ...  2.5065553 -0.5232769 -1.0148177]
54,The dress is on the hanger,The dress is on the floor,"[-0.1923584  -0.7923544   0.10989267 ...  1.0210047  -2.84184
 -1.6585974 ]","[ 0.43805802 -0.6479196   0.6969355  ...  0.22475868 -3.099758
  0.33543184]"
55,The jacket is on the coat rack,The jacket is on the chair,"[ 1.778983    1.8840202  -0.05397723 ...  0.5194669   1.1180795
 -0.6885715 ]","[ 1.3019727   2.6458044   1.4030429  ... -0.16497982  0.6170202
  1.2350122 ]"
56,The bag is on my shoulder,The bag is on the floor,"[ 0.6774642   3.820216    2.9618416  ... -1.2950121  -0.26010486
  1.9426875 ]","[ 1.5322233   3.4126055   2.0145838  ... -1.3121806  -0.53554827
  3.0652673 ]"
57,The purse is on my arm,The purse is on the table,"[ 1.2217716   2.2325838   1.5136223  ... -0.3610307  -0.07195274
  1.743362  ]","[ 2.1781514   1.8129272   0.2918802  ...  0.05281707 -0.21791661
  2.7515469 ]"
58,The backpack is on my back,The backpack is on the floor,"[-0.22849973  2.4416974   2.6802552  ...  0.26221696  0.46531376
  1.3688658 ]",[0.41784748 1.326991   2.3845658  ... 0.30217314 0.55750805 2.520342  ]
59,The suitcase is in the car,The suitcase is beside the car,"[ 0.15655372  3.2061946   3.2308056  ...  0.22281899  1.339548
 -0.16560596]",[2.8464725  3.7039554  1.9166826  ... 0.15183681 0.900765   0.4790039 ]
60,The box is on the shelf,The box is under the shelf,[1.1652938  1.1630147  2.0508792  ... 0.578306   0.25671253 2.004046  ],"[ 2.462965    2.1077654   1.9113318  ... -0.70823026 -0.24230878
  2.1041873 ]"
61,The container is on the counter,The container is inside the cupboard,"[-0.12096065  2.4800754   3.2614439  ...  0.36578378  0.07523251
  1.7510098 ]",[ 1.536686   3.0698168  2.865199  ...  0.2837449 -0.3126274  1.5799016]
62,The container is in the cupboard,The container is on the counter,[0.16448426 3.0453806  3.3297565  ... 0.7718416  0.67151785 1.648789  ],"[-0.12096065  2.4800754   3.2614439  ...  0.36578378  0.07523251
  1.7510098 ]"
63,The bird is on the branch,The bird is near the branch,"[-0.16367708  3.6955507   2.070296   ... -1.4496393  -0.7917916
  2.3478458 ]","[ 0.7393818   4.33288     2.4901974  ... -1.1172693   0.31947216
  3.2074587 ]"
64,The plane is above the clouds,The plane is below the clouds,"[ 0.09583404  2.122462    2.2162619  ... -0.89345074 -2.8743458
  1.6843606 ]","[-0.33447385  2.1286767   2.8634474  ... -0.8172844  -2.3442144
  1.1001339 ]"
65,The sun is over the horizon,The sun is beneath the horizon,[-1.4241141  3.0154297  3.22647   ...  1.4553709 -4.0395474  3.771264 ],[-1.9154876  2.8257272  3.4727075 ...  1.2777438 -4.152902   2.1982915]
66,The moon is in the sky,The moon is behind the clouds,[-1.2499481  1.0842185  2.7402487 ... -1.9731501 -3.9470508  2.2980747],[-0.6409828  2.1310618  2.3489635 ... -0.8192129 -4.021338   1.4987469]
67,The star is amongst the constellations,The star is beside the constellations,"[-1.1682453  -0.6582989  -0.05841558 ...  0.80403036 -1.4056609
  1.7517965 ]","[ 0.459024    0.42273867  0.20325698 ...  1.3334635  -0.26361716
  2.5449512 ]"
68,The fish is in the tank,The fish is outside the tank,"[-1.3306935   3.162059    2.788886   ...  0.9118829   0.11034218
  3.1657693 ]","[-0.09379917  1.722371    2.8347843  ...  1.0922819  -1.0103236
  3.6772785 ]"
69,The frog is near the pond,The frog is inside the pond,"[ 0.53514236  3.4579623   1.3585076  ...  0.75414985 -1.4681247
  5.5132823 ]",[ 1.3101636  2.7394612  1.8949405 ...  0.8109569 -1.6352301  4.2328725]
70,The turtle is on the log,The turtle is under the log,"[ 0.04099603  1.8631983   1.1061788  ... -0.3337146  -0.23330373
  2.960933  ]","[ 0.81776434  3.6463406   1.4192544  ... -1.0826806   0.97078323
  3.1208258 ]"
71,The snake is in the grass,The snake is above the grass,"[ 0.44000086  2.9438245   1.9355311  ... -0.07869282 -0.8438053
  3.5461643 ]","[ 0.35940328  3.0568779   2.5274174  ... -1.404148   -1.5985956
  3.570845  ]"
72,The squirrel is up the tree,The squirrel is down the tree,"[ 0.95088357  1.4495243   3.431244   ... -3.0434682  -2.151989
  0.822712  ]","[ 1.5847031   0.9532724   3.130223   ... -3.206459   -1.7630669
  0.29328027]"
73,The rabbit is beside the burrow,The rabbit is inside the burrow,[ 4.1684804  1.7904788  1.9836563 ... -1.7862406 -1.9175513  2.085025 ],[ 4.896557   1.7641531  2.7292154 ... -1.8757547 -1.3537416  1.3969896]
74,The deer is in the forest,The deer is at the edge of the forest,[ 1.73478    1.0328001 -1.1278268 ... -1.390635   1.048364   1.3007005],"[ 0.43681213  0.05459073 -0.33883822 ... -1.0466052   1.2107043
  1.6529404 ]"
75,The lion is near the watering hole,The lion is far from the watering hole,"[ 0.72234625  4.935163   -0.45646277 ...  0.28361306 -0.3746387
  4.0880013 ]","[ 1.3133669   3.8323078  -0.51676863 ... -0.42022213  0.17104444
  3.778603  ]"
76,The elephant is amongst the trees,The lion is outside the trees,"[-1.458911    2.0631588   1.7936239  ... -0.90532756  0.05374676
  1.2154351 ]","[ 1.6057204   4.64681    -0.07156336 ...  0.5150812  -0.8297326
  2.9746954 ]"
77,The monkey is in the jungle,The monkey is next to the jungle,"[ 1.5851432   4.6325817   2.4547539  ... -0.22796337  0.8027415
  2.961851  ]",[1.3551319  4.671675   2.0528684  ... 0.19008394 1.5908365  2.1119516 ]
