,Sentence1,Sentence2,Sentence1_embedding,Sentence2_embedding
0,The dog might eat the food., The dog should eat the food.,"[ 2.0832822   6.050865    1.8358643  ... -0.2518912  -0.26766258
  1.4560015 ]","[ 0.96854717  6.548935    1.6139749  ... -0.43012285  1.6262733
  0.97135746]"
1,He could win the race., He must win the race.,"[ 4.296597    5.8562207  -0.31021798 ...  0.8938403   2.7092628
  5.0059905 ]",[ 2.895181   7.507183  -1.4972253 ... -0.2882683  1.0749623  5.134125 ]
2,They may leave early., They should leave early.,[-1.3669419  2.7628405  0.7619592 ... -0.7673462 -2.2864804  3.5048058],"[-0.81844485  4.3661256  -0.05489697 ... -0.83866704  1.1471864
  2.8427942 ]"
3,She can play the piano., She must play the piano.,"[ 3.8649356   9.066588    0.96109813 ... -0.2886198  -3.3340437
  4.0476785 ]",[ 1.1681961  6.6197352  0.7020423 ... -1.4748365 -1.4331284  3.5340812]
4,We might go to the beach., We should go to the beach.,"[ 0.6052676   0.54110247  3.027413   ... -0.9829318  -2.3195271
  4.3472157 ]","[ 0.8176216   4.1190014   2.3075442  ... -0.54606354 -0.00865817
  3.7378938 ]"
5,The car could be fixed., The car must be fixed.,"[ 1.333762    5.080498    1.4478121  ...  0.3271843  -0.79853004
  2.8570156 ]","[ 0.19092743  5.5609384   1.152047   ... -0.165082   -0.9480521
  3.2683468 ]"
6,It may rain tomorrow., It will probably rain tomorrow.,"[ 0.44444036  3.6320057   4.1046515  ...  0.43432465 -4.666068
  2.7971842 ]","[ 0.99385625  4.48393     2.8365507  ...  1.3068274  -1.4695729
  2.7515714 ]"
7,He might call later., He is expected to call later.,"[-1.3679664   4.3706965   0.54724056 ... -0.5831746  -0.5347014
  2.634217  ]","[-1.9281937   5.454633   -0.24682157 ... -0.31361356  1.9973878
  2.8044922 ]"
8,She can bake a cake., She is able to bake a cake.,[ 2.1066718  6.417352   2.1877847 ... -2.0874739 -1.5807813  4.331871 ],"[ 1.8636706   5.8639045   1.6266706  ... -1.1302229  -0.82163775
  4.101185  ]"
9,They may attend the meeting., They are required to attend the meeting.,[-1.9350616  1.1512957  0.6243525 ...  0.7151511 -3.0022037  3.2512443],"[-1.8321733   2.0384145   0.30511075 ... -0.34619167 -0.12912752
  2.521423  ]"
10,The project could succeed., The project is likely to succeed.,"[ 2.2325273   2.51124     1.3663795  ... -0.35871074 -0.8944025
  2.9483552 ]",[0.15678369 2.535881   0.54667675 ... 0.31593415 0.5233292  1.924318  ]
11,We might finish on time., We need to finish on time.,[-1.2517264 -0.6768492  1.9098192 ... -0.8475748 -3.7935505  2.5044773],"[-1.3301847   4.48198     0.07327269 ... -0.31740314 -2.1933653
  2.2937236 ]"
12,He can speak French., He is capable of speaking French.,"[ 0.06748643  8.358362    1.3147485  ...  0.72201055 -1.4679413
  3.3186328 ]","[ 0.9570363   9.1547785   1.5712656  ... -0.19270922  0.60046417
  2.3497787 ]"
13,It may snow tonight., It's supposed to snow tonight.,"[-0.07025187  0.7237837  -0.00783968 ... -1.5672433  -3.4627814
  3.266293  ]","[-0.35138687  2.86964     0.67744786 ... -1.156891   -0.39512315
  1.6832535 ]"
14,She could have gone to the concert., She should have gone to the concert.,[ 1.4713047  3.894049   1.9697969 ...  0.6127652 -1.0195328  3.5039153],[0.22679344 5.215863   1.4960352  ... 0.41979113 0.37952232 2.933283  ]
15,They might have finished the work., They were supposed to have finished the work.,"[-1.9967397   1.214304    0.6577951  ...  0.02783404 -2.7682405
  3.337958  ]","[-1.5548668   3.0812638   0.33328903 ...  0.00645534  0.6571945
  2.1168344 ]"
16,He could be home by now., He ought to be home by now.,"[-0.68443954  2.2169464   2.8330517  ...  0.04332448  2.2298043
  3.1533844 ]","[ 0.11253938  4.444768    2.3100166  ... -0.76153415  2.2805867
  2.129046  ]"
17,It may have rained last night., It probably rained last night.,[-1.906536  -1.5343177  0.8581725 ... -0.3261196 -2.3959444  2.087271 ],"[-0.8843003   0.7798857   1.9832442  ... -0.941013   -0.09435724
  1.2528343 ]"
18,We might have seen him earlier., We should have seen him earlier.,"[-3.0677993  -1.2584846  -0.8392268  ...  0.04458284 -2.6170743
  1.8643198 ]",[-1.0435861  5.082549  -1.311936  ... -0.2072526 -0.6471384  1.8482109]
19,The bus could arrive any minute., The bus is scheduled to arrive any minute.,[-0.1928343 -1.9044645  2.0582273 ... -1.079047  -2.8791633  1.840741 ],"[-1.9019407  -2.4266539   1.606539   ... -0.76934385 -2.7906718
  0.93973583]"
20,She can choose her own path., She is free to choose her own path.,"[ 1.3613758   5.8206077   1.0026628  ...  0.46928152 -2.4194982
  1.8686777 ]","[ 1.9340335   5.5582595   0.6987125  ...  0.03503866 -1.1372237
  1.6546664 ]"
21,He could have avoided the accident., He should have avoided the accident.,"[-0.47342545  7.2280235   0.30404016 ...  0.09438215  0.6569109
  2.7728283 ]","[-0.40699145  6.63689    -0.18586919 ... -0.4212241   0.41865975
  1.9490328 ]"
22,They may not agree with us., They are not obliged to agree with us.,"[-2.553922    4.8345447  -0.84432256 ... -0.5166983  -5.7279406
  3.3487089 ]","[-1.3199139   7.9509974   0.21441238 ...  0.24950293 -0.6110168
  1.4721891 ]"
23,We might not be able to help., We are unable to help.,"[-1.7669122   5.0104733  -0.75000805 ... -0.143168   -1.0981009
  1.9109793 ]","[-1.8447132   6.702944    0.02151012 ...  0.05904138 -0.4070731
  1.9015399 ]"
24,He could refuse the offer., He is allowed to refuse the offer.,"[ 1.6902413   9.940908    0.97131777 ... -0.02569795  1.9641451
  3.4981978 ]","[ 1.587568    8.901604    0.07873096 ... -0.23817265  2.6865072
  2.941642  ]"
25,It may not be true., It is unlikely to be true.,"[-3.440553    1.3192095  -0.7476359  ...  0.14020477 -0.84452254
  4.152117  ]","[-1.7192324   5.3203926   0.37594813 ...  0.13960937  2.691503
  1.2412335 ]"
26,She can refuse the offer., She has the right to refuse the offer.,"[ 2.2414873  10.682526    1.5690212  ...  0.5549224  -0.66294914
  3.3872478 ]","[ 0.39539245  8.7234955  -0.3005436  ...  0.38916317  0.350977
  2.8624322 ]"
27,They might not come., It's possible they won't come.,"[-0.04589748  2.7769227  -0.16194901 ...  0.00809501 -0.853419
  3.8361104 ]","[-1.4040298   4.6130543   0.10601689 ... -0.66237915  1.4243157
  0.85588753]"
28,The train could be delayed., The train might be delayed.,"[ 0.39972186  1.4420649   1.808376   ... -0.67394215 -2.9442863
  3.1801703 ]","[-0.4715686   2.0857022   2.162998   ... -0.09829831 -3.9248686
  2.4988658 ]"
29,We may need more time., We will likely need more time.,[-2.130841   4.6713333  1.4537536 ... -0.7476525 -2.218153   0.9180028],[-1.5508081  3.0196626  1.1245058 ... -0.3065315 -0.3353254  1.0843717]
30,He could have done better., He was capable of doing better.,"[-0.46248984  6.407912    1.2464316  ...  0.14764947  1.5077562
  3.1298485 ]",[ 0.50655    8.569552   1.5137422 ... -0.9938732  2.4709663  2.5814493]
31,It may be too late., It is probably too late.,"[-2.6568596   0.8574982   0.4730591  ...  0.13420618  0.0081869
  2.342824  ]","[-3.1162646   3.4069107   1.706632   ... -0.26610145  2.4966052
  0.8880511 ]"
32,She can drive a car., She is permitted to drive a car.,"[ 2.366937    9.433434    0.03910239 ... -0.19224697 -1.9126848
  4.65266   ]","[ 2.385017    6.501351    0.46312237 ... -0.51996976 -0.10055939
  3.694294  ]"
33,They might have left already., They could have left already.,"[-1.7446419   3.655471    0.8977309  ...  0.04815379 -1.0078144
  1.9074291 ]","[-0.7250535   5.3321447   0.4190916  ... -0.18744338  0.7776365
  1.9283518 ]"
34,He could be a doctor., He has the potential to be a doctor.,[0.82382256 6.7298207  2.124143   ... 0.7922566  1.3194835  3.3533037 ],"[-0.02300965  9.444804   -0.33633232 ...  0.12483165  0.09577732
  4.3570666 ]"
35,It may be sunny tomorrow., It is expected to be sunny tomorrow.,"[-1.2216364   1.0094562   2.1970394  ... -0.04815322 -2.7019434
  3.1201036 ]",[-1.2101381  3.476074   1.7454345 ... -1.0583355  0.5591813  1.5525738]
36,We might find a solution., We hope to find a solution.,"[ 1.0448562   3.640627    0.4066142  ... -0.6263539  -2.3233864
  0.82626766]","[ 0.44545126  6.146499   -1.1777066  ... -0.5537397  -0.73456126
  0.70487756]"
37,The flowers could bloom soon., The flowers are expected to bloom soon.,"[ 3.4912803   2.5648203   0.16260803 ...  0.44410512 -2.5738952
  3.300252  ]","[ 1.3463378   2.238141   -0.43091586 ...  0.04275399 -3.1358972
  2.6510935 ]"
38,He can solve the problem., He is able to solve the problem.,"[ 2.7002537   8.06877     0.75085706 ... -0.07601374 -0.7373937
  2.8523967 ]","[ 2.1820998   7.3421335   0.6826478  ...  0.7405956  -0.04941492
  2.1988819 ]"
39,She might get a promotion., She is likely to get a promotion.,"[ 3.2148745   6.3973117   3.6796894  ... -0.00785375 -1.1290057
  2.398784  ]",[2.501494   7.17988    3.5230272  ... 0.55077493 0.864692   3.0516634 ]
40,They may not understand., They are not expected to understand.,"[-2.5719075   4.8395405   1.0141618  ... -0.18800612 -4.2426734
  3.5530314 ]","[-1.6007099   6.121493    0.9132023  ... -0.05425666  0.3454662
  1.5415627 ]"
