,Sentence1,Sentence2,Sentence1_embedding,Sentence2_embedding
0,He went to the store.,She went to the store.,[1.6473628  2.137838   2.9991753  ... 0.19642757 3.491003   2.8868458 ],[1.9018025 1.3918067 3.5216982 ... 0.8937623 1.7579327 2.9538553]
1,The boy played soccer.,The girl played soccer.,"[ 1.6659689   3.4708953   0.34565693 ... -3.082655   -2.241837
  4.4748735 ]","[ 2.0632768   1.8393352  -0.08937211 ... -2.4967816  -4.1565876
  5.226165  ]"
2,My brother called me.,My sister called me.,"[-0.25712505  2.5765846   2.0575697  ... -1.4860433   1.7724235
  4.4991846 ]","[-0.42623383  1.0339903   2.79396    ... -1.0009423  -0.1350265
  3.9788945 ]"
3,He baked a cake.,She baked a cake.,"[-0.38458395  4.801149    0.4062912  ... -3.2782893   1.435626
  5.163805  ]","[-0.37701234  3.8216228   0.6949455  ... -2.9382768  -0.7065252
  5.3758154 ]"
4,The man drove a car.,The woman drove a car.,"[ 0.85989004  4.079145   -0.9015923  ... -0.9281561   0.30480474
  4.5738816 ]","[ 1.9602585   4.094857    0.13275826 ... -0.6135613  -1.4113626
  4.454642  ]"
5,He painted a picture.,She painted a picture.,"[ 0.6837737   0.29339805  1.8278625  ... -2.4025064   0.12455375
  1.1897025 ]","[ 1.1317168  -0.5480362   2.1502705  ... -2.076696   -0.84501904
  1.5836681 ]"
6,The king ruled his kingdom.,The queen ruled her kingdom.,"[ 1.6811651   5.8403964   2.8607008  ... -0.41166008  3.39413
  2.5727036 ]",[ 3.378321   3.7286017  2.7279844 ... -0.929432   1.0371742  2.6685905]
7,He wrote a letter.,She wrote a letter.,"[ 0.3445255   4.8109593   0.31826124 ... -2.4679615   1.4048688
  2.1674435 ]",[ 0.9211238  3.895251   1.0578625 ... -1.8833472 -0.5402668  2.4360127]
8,The uncle visited his nephew.,The aunt visited her niece.,[ 3.0259721  0.7461789  3.2339237 ... -3.5990975  1.5306038  3.709097 ],"[ 5.0839467   0.02827028  4.017443   ... -3.3656006  -0.47280583
  3.637352  ]"
9,He fixed the car.,She fixed the car.,"[ 1.6088903   6.3890653   0.9679383  ... -0.29416123  0.68609804
  1.9646466 ]",[ 1.7527254  5.6027284  1.3925995 ... -0.2356126 -0.8936348  2.3139267]
